"Permit.Number","Orig","Dest"
"55000S",2,1
"55012B",1,3
"55013W",6,1
"55019X",2,1
"55020R",6,3
"55024M",1,14
"55025B",1,2
"55026S",3,1
"55027U",6,2
"55033X",2,6
"55035C",2,1
"55037O",7,3
"55040G",1,2
"55048C",6,1
"55050L",8,10
"55052V",2,1
"55054G",2,3
"55061X",5,1
"55065V",1,2
"55067G",2,1
"55076S",4,6
"55078V",2,1
"55086J",6,8
"55088S",2,1
"55096M",2,4
"55113G",2,6
"55114A",7,14
"55115M",2,6
"55124B",13,4
"55125N",1,10
"55128P",1,2
"55134S",1,2
"55135L",2,1
"55141O",1,2
"55143Z",3,1
"55148L",1,6
"55150Q",5,2
"55156F",2,6
"55157S",3,7
"55158G",2,1
"55159X",8,1
"55161B",4,1
"55169P",10,2
"55175C",1,3
"55181G",1,14
"55182X",1,2
"55184I",1,14
"55193N",1,2
"55194G",2,1
"55195X",1,8
"55199R",1,2
"55210M",1,2
"55213Q",7,3
"55214E",1,3
"55216N",1,2
"55220K",3,6
"55228Q",1,5
"55231R",1,8
"55232O",2,5
"55235M",2,1
"55239U",4,2
"55245O",6,2
"55253C",1,6
"55268M",1,2
"55276E",3,2
"55279L",6,2
"55294M",7,2
"55305H",1,2
"55308J",1,6
"55309W",1,2
"55311R",3,13
"55314V",7,5
"55320Z",2,9
"55325L",11,4
"55341Z",8,1
"55343Q",1,14
"55348J",4,2
"55352Z",7,6
"55357J",1,14
"55358H",6,2
"55362Q",5,3
"55377F",3,1
"55384A",2,1
"55386C",1,2
"55387C",8,1
"55397G",2,3
"55399O",2,5
"55406N",2,7
"55408V",6,1
"55414F",6,2
"55415Z",3,2
"55416L",2,6
"55417H",4,2
"55420U",2,6
"55428N",2,5
"55435F",2,6
"55436H",2,7
"55443G",8,2
"55445R",8,2
"55453E",3,2
"55464P",8,3
"55468F",2,1
"55469A",3,6
"55474L",6,1
"55482Z",8,2
"55483Q",8,1
"55498B",2,1
"55504K",6,1
"55506Q",2,5
"55507M",2,1
"55516R",3,6
"55520P",13,2
"55525U",2,1
"55543G",2,5
"55546P",6,8
"55554F",2,3
"55555N",2,18
"55557H",3,8
"55559Q",6,2
"55561U",2,3
"55569G",18,1
"55572R",4,3
"55574A",6,4
"55575R",2,3
"55581X",4,3
"55589K",4,3
"55593A",6,3
"55596A",2,1
"55598K",2,5
"55602O",1,5
"55605J",3,7
"55608P",5,7
"55609E",7,2
"55616B",2,1
"55620A",6,3
"55625J",2,7
"55628H",7,3
"55629H",4,3
"55630A",3,2
"55634R",6,3
"55635K",2,6
"55636S",5,2
"55642C",7,3
"55649U",6,3
"55661E",1,2
"55664L",4,14
"55668C",6,3
"55671H",8,6
"55680H",3,6
"55682W",4,6
"55685Q",2,3
"55687G",3,6
"55689G",1,2
"55690C",2,7
"55691W",2,3
"55698S",1,2
"55699N",7,9
"55702R",3,2
"55707K",3,9
"55711X",1,2
"55713F",1,14
"55714A",2,3
"55724E",4,3
"55727A",2,1
"55730S",2,1
"55734N",1,18
"55738R",2,3
"55740Z",1,6
"55743X",1,2
"55747V",3,2
"55750W",2,1
"55752J",8,7
"55759A",2,1
"55761R",6,2
"55763W",2,1
"55764W",4,3
"55772I",2,6
"55775F",2,3
"55777L",1,6
"55792E",3,2
"55795G",2,3
"55796X",6,2
"55803V",7,2
"55805E",1,2
"55808C",2,1
"55809A",3,6
"55818G",7,3
"55821M",3,6
"55827B",2,1
"55833F",2,1
"55835C",3,8
"55837E",5,1
"55847F",2,1
"55852V",4,2
"55853N",8,2
"55857I",4,6
"55864E",12,4
"55869I",3,2
