"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic","CFEC"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,87,0,61,0,0,0,63,0,0,0,0,0,0,0,0,0,0
0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,31,340,187,0,0,108,0,0,0,0,0,0,0,0,0,0
0,56,41,179,843,0,0,53,0,0,0,0,0,0,0,0,0,417
0,0,0,0,0,79,0,49,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,60,111,0,0,0,683,0,0,0,33,0,0,0,0,0,0
0,0,0,0,0,0,0,59,142,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
0,0,0,68,0,0,0,104,0,0,0,191,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0
0,0,0,0,0,0,0,37,0,0,0,0,0,275,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,41,0,0,36,0,0,0,84,0,39,0,0,0,0
