"Permit.Number","Orig","Dest"
"55040G",2,18
"55069I",2,18
"55083Z",2,18
"55171A",1,18
"55186R",18,18
"55231R",8,18
"55235M",1,18
"55275Q",18,18
"55309W",2,18
"55386C",2,18
"55403B",1,18
"55420U",6,18
"55442A",2,18
"55479P",1,18
"55490R",12,18
"55521E",1,18
"55545L",1,18
"55555N",18,3
"55584K",1,18
"55617L",1,18
"55646M",6,18
"55689G",2,18
"55734N",18,18
"55827B",1,18
"55839Q",18,18
"55913G",18,6
"55986F",2,18
"56000N",2,18
"56013S",18,2
"56018A",2,18
"56039N",2,18
"56084E",18,2
"56128H",2,18
"56157M",5,18
"56187B",2,18
"56199J",2,18
"56259J",18,1
"56264A",18,18
"56270P",3,18
"56392F",1,18
"56424B",18,5
"56441L",18,5
"56444N",18,18
"56465W",3,18
"56484I",1,18
"56486K",1,18
"56492N",8,18
"56559C",2,18
"56600P",2,18
"56601I",6,18
"56620L",2,18
"56638X",1,18
"56694P",2,18
"56728W",9,18
"56841Q",2,18
"56844H",18,18
"56881I",2,18
"56882A",6,18
"56948W",8,18
"57227W",2,18
"57229H",2,18
"57232I",2,18
"57292K",18,18
"57454S",18,2
"57486J",1,18
"57495O",1,18
"57534S",18,18
"57608Q",6,18
"57650E",6,18
"57683H",18,18
"57690Z",18,5
"57720S",1,18
"57726X",8,18
"57845K",18,18
"57849F",2,18
"57856A",1,18
"57899S",2,18
"57907M",2,18
"57908F",2,18
"57909W",1,18
"57910N",2,18
"57943W",18,18
"57976F",2,18
"58031W",2,18
"58070V",1,18
"58181U",2,18
"58183J",18,2
"58218X",18,18
"58338U",2,18
"58341V",1,18
"58343K",18,5
"58371W",18,6
"58413V",1,18
"58429X",1,18
"58439V",2,18
"58478U",6,18
"58501W",2,18
"58508S",2,18
"58511U",2,18
"58547R",2,18
"58671U",18,18
"58796U",18,18
"58809W",18,18
"58864M",2,18
"58923M",2,18
"58949M",2,18
"58969M",2,18
"58989N",3,18
"58994O",8,18
"59085F",2,18
"59175X",6,18
"59220X",2,18
"59222I",3,18
"59238O",18,18
"59296S",18,18
"59314I",18,5
