"Permit.Number","Orig","Dest"
"55013W",1,2
"55026S",2,1
"55030P",2,1
"55034H",2,14
"55035C",1,2
"55036U",1,2
"55058A",2,1
"55070H",2,1
"55071Z",2,1
"55075Z",4,2
"55077E",2,1
"55096M",4,3
"55099O",8,2
"55109J",1,2
"55110G",2,3
"55116K",7,2
"55121S",2,6
"55138N",1,8
"55141O",1,6
"55142H",2,1
"55147S",2,1
"55150Q",5,6
"55156F",6,2
"55171A",2,1
"55174K",1,8
"55175C",2,1
"55177M",6,2
"55184I",2,3
"55185A",8,2
"55186R",1,2
"55187K",6,1
"55190L",2,1
"55191E",2,1
"55194G",1,2
"55195X",2,1
"55209V",2,1
"55213Q",7,2
"55220K",3,6
"55221I",7,6
"55233C",1,2
"55236O",6,3
"55241U",1,2
"55248Q",2,1
"55249O",2,3
"55250A",2,1
"55261Z",2,3
"55279L",3,6
"55285J",1,6
"55304N",3,2
"55317K",8,2
"55326X",1,2
"55332B",2,1
"55335E",3,2
"55349B",8,6
"55350R",4,5
"55351K",8,5
"55355F",6,2
"55356Q",2,1
"55364K",3,5
"55365W",1,2
"55368Z",2,1
"55375A",2,8
"55377F",1,3
"55382P",2,6
"55383I",2,1
"55390E",2,1
"55391X",11,3
"55405Z",6,2
"55408V",1,6
"55413E",1,2
"55415Z",4,3
"55427V",2,1
"55431P",7,3
"55458K",2,1
"55461N",2,3
"55482Z",2,1
"55493O",1,2
"55506Q",5,1
"55512X",2,1
"55515A",1,5
"55527F",1,2
"55530L",14,3
"55534E",2,1
"55535V",2,1
"55538X",1,2
"55557H",2,7
"55560I",5,6
"55561U",3,2
"55575R",6,2
"55592E",7,2
"55595I",2,1
"55603S",3,1
"55609E",7,5
"55612H",1,2
"55613F",6,2
"55619E",2,1
"55624O",2,3
"55628H",7,8
"55635K",8,2
"55645Z",2,1
"55651I",3,2
"55658Z",1,2
"55668C",7,3
"55669P",7,3
"55671H",2,8
"55672S",2,3
"55673E",2,6
"55676K",2,1
"55679M",1,2
"55682W",7,4
"55683O",2,3
"55691W",6,2
"55692Q",1,3
"55693F",1,3
"55694F",8,4
"55695N",2,1
"55706M",2,3
"55707K",4,14
"55709U",2,8
"55720J",4,3
"55729K",1,2
"55730S",2,1
"55732I",2,1
"55738R",6,3
"55742J",1,6
"55746J",6,2
"55749G",2,1
"55750W",6,2
"55751O",1,2
"55752J",7,8
"55756B",2,1
"55758N",7,11
"55763W",6,1
"55765M",4,2
"55778O",1,3
"55782W",2,1
"55791L",4,9
"55808C",1,2
"55818G",7,2
"55820M",2,1
"55821M",4,3
"55822C",4,3
"55823W",4,2
"55824M",3,4
"55829S",2,1
"55831I",2,3
"55832A",8,2
"55835C",4,3
"55837E",6,5
"55844C",2,1
"55846M",1,2
"55850G",2,1
"55864E",2,3
"55865V",1,2
"55869I",7,3
"55871P",2,1
"55874S",7,3
"55875P",7,3
"55883B",2,6
"55893Z",2,1
"55894W",2,6
"55900A",1,2
"55901O",1,2
"55902H",1,2
"55912K",2,7
"55919V",9,3
"55924V",4,6
"55934P",7,3
"55940Q",11,8
"55951M",12,3
"55973E",2,8
"55987H",2,7
"55990L",6,3
"55991X",1,2
"56003A",7,3
"56009C",1,2
"56012A",2,1
"56015G",2,1
"56016E",8,3
"56020W",2,5
"56021O",8,15
"56025J",4,3
"56032Z",2,1
"56036B",4,8
"56047O",6,8
"56048H",8,5
"56049Z",8,1
"56050K",2,1
"56065U",2,1
"56066M",2,1
"56071A",3,8
"56072R",3,8
"56080J",4,2
"56081E",4,3
"56085R",7,2
"56096G",1,2
"56097E",3,2
"56099A",1,2
"56101S",2,5
"56103H",2,1
"56106L",7,8
"56107H",4,3
"56110C",2,1
"56113B",2,1
"56114W",1,3
"56116E",2,1
"56121U",7,3
"56130A",7,2
"56133C",7,2
"56135P",6,3
"56146G",8,6
"56150Z",8,6
"56151Q",8,2
"56155G",3,6
"56157M",2,5
"56160E",9,2
"56165U",6,2
"56166R",2,3
"56167S",8,2
"56170U",6,8
"56188B",2,1
"56191Z",1,7
"56196W",4,3
"56197M",4,6
"56213V",4,3
"56220O",6,4
"56234H",4,2
"56240F",2,1
"56241F",4,2
"56246L",2,3
"56247H",6,3
"56252F",1,2
"56264A",6,3
"56277Q",1,2
"56282L",8,2
"56285N",8,3
"56297M",5,8
