"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,219,6,49,16,9,0,41,8,0,0,6,0,0,0,0,0
0,14,126,31,12,0,0,24,10,0,0,5,0,0,0,0,0
0,34,30,0,149,31,0,76,27,0,0,15,0,5,0,0,0
0,10,9,124,0,0,0,25,0,0,0,0,0,0,0,0,0
0,7,10,41,0,297,0,69,0,0,0,0,0,0,0,0,0
0,0,0,21,6,0,0,22,8,0,0,0,0,0,0,0,0
0,42,16,53,13,11,7,0,11,0,0,19,0,0,0,0,0
0,7,0,16,0,0,0,27,208,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44,6,46,11,0,5,118,0,0,0,482,0,11,0,0,0
0,5,0,6,0,0,0,9,0,0,0,0,54,0,0,0,0
0,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
