"Permit.Number","Orig","Dest"
"55037O",7,6
"55049U",2,1
"55078V",1,2
"55139G",2,1
"55151J",1,2
"55210M",2,1
"55234Z",5,2
"55239U",6,4
"55309W",2,1
"55324S",4,3
"55347Q",4,3
"55360H",2,1
"55403B",1,2
"55426H",8,3
"55504K",1,2
"55524G",2,1
"55528C",14,3
"55558V",7,2
"55566H",3,8
"55567Z",2,1
"55568W",3,4
"55578Q",2,7
"55599C",8,2
"55715U",2,3
"55726I",2,1
"55731X",6,13
"55766B",2,3
"55792E",4,3
"55809A",2,3
"55810L",3,5
"55897Z",6,15
"55914X",12,4
"55948L",4,3
"55986F",1,2
"55995X",11,3
"56004N",2,7
"56011L",2,6
"56013S",3,7
"56029E",4,12
"56119M",14,5
"56128H",2,1
"56140X",7,2
"56161B",2,1
"56169V",7,2
"56177I",1,2
"56178E",1,2
"56183M",7,3
"56195S",5,2
"56238X",7,2
"56248V",2,3
"56251Q",5,2
"56272I",6,1
"56275P",4,8
"56283E",2,4
"56322H",7,2
"56438K",1,5
"56463W",7,6
"56483P",2,1
"56540C",2,3
"56545O",5,2
"56579W",9,3
"56610S",7,8
"56646P",5,3
"56651F",1,2
"56655Z",1,2
"56680K",3,5
"56702N",2,1
"56751H",2,6
"56752G",6,1
"56758K",2,8
"56804R",1,3
"56821E",2,3
"56864Z",11,7
"56879M",5,4
"56886I",8,2
"56887R",7,2
"56999Q",4,3
"57024K",6,2
"57029W",2,1
"57035F",5,13
"57054G",2,3
"57128S",2,4
"57183S",2,3
"57212Q",5,6
"57243I",2,3
"57263H",2,3
"57279J",6,3
"57379J",5,2
"57405Z",4,12
"57420G",6,4
"57460N",2,1
"57465J",3,4
"57469C",2,13
"57490P",4,2
"57497M",2,4
"57509A",4,3
"57515B",5,6
"57516S",5,6
"57554C",3,4
"57564X",5,8
"57565P",5,8
"57583X",2,1
"57584V",8,2
"57586C",2,7
"57603W",7,3
"57609A",2,3
"57633R",6,8
"57672S",14,3
"57673L",14,3
"57674E",14,3
"57695S",5,13
"57698O",2,7
"57704F",5,13
"57708A",1,3
"57738S",12,4
"57755Z",2,1
"57780N",1,6
"57785G",2,4
"57794C",1,2
"57811F",3,1
"57832X",15,3
"57863I",5,13
"57872J",1,2
"57916W",5,3
"57944L",2,6
"57973M",2,7
"57993L",6,2
"58063N",14,2
"58074U",14,1
"58138R",1,4
"58140B",3,4
"58145K",5,13
"58162L",9,3
"58198F",12,3
"58202Z",2,3
"58231F",1,4
"58237Z",7,6
"58246Z",6,1
"58311I",2,3
"58364J",1,4
"58400A",1,3
"58421I",3,9
"58451P",3,4
"58523K",2,1
"58535U",3,7
"58543C",5,2
"58545V",12,4
"58546F",2,1
"58554V",1,2
"58555K",1,2
"58568K",1,6
"58609A",7,2
"58639R",2,1
"58661G",2,4
"58683G",2,1
"58685V",8,2
"58691B",2,15
"58692N",7,8
"58718W",6,4
"58723A",7,1
"58733W",2,5
"58740B",2,4
"58769G",4,3
"58771M",6,3
"58791I",6,2
"58814I",3,7
"58818F",5,13
"58860G",2,3
"58874X",4,3
"58880V",2,1
"58908S",6,4
"58940K",1,3
"58961J",6,2
"58980B",6,1
"58988Z",6,4
"58991C",2,4
"59002I",3,4
"59013X",8,2
"59040G",2,1
"59042B",8,4
"59043S",8,4
"59045E",8,4
"59109K",2,7
"59144M",6,3
"59156W",3,6
"59157O",3,6
"59167R",4,3
"59185Z",5,6
"59186Q",5,14
"59188G",8,4
"59189S",5,6
"59218S",2,1
"59300B",6,4
"59306P",1,6
"59308M",3,13
"59310Z",4,2
"59320O",13,3
"59324G",2,1
"59355U",2,3
"59411X",2,3
"59415P",5,6
"59438M",7,2
"59460O",6,3
"59539S",3,2
"59600W",3,7
"59615J",2,13
"59625A",2,7
"59626W",2,7
"59636A",4,3
"59650G",2,1
"59654G",7,6
"59674L",9,3
"59675E",9,3
