"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,9,9,0,0,15,4,0,0,3,0,0,0,0,0
0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,20,4,0,16,5,0,3,0,0,0,6,0,0,0,0,0
0,15,7,21,0,0,0,10,0,0,0,3,0,0,0,0,0
0,4,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0
0,19,6,8,13,6,0,0,0,0,0,16,0,0,0,0,0
0,6,6,3,0,0,0,13,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0
0,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
